XpryDt,FinInstrmNm,TckrSymb,PCLOSE,OPEN,HIGH,LOW,CLOSE,SttlmPric,TtlTradgVol,OpnIntrst,RptgDt,TYPE,Week,Weekly Returns(%),Weekly Returns(%)
8/31/2023,FUTSTK,TATACONSUM,795.45,0,0,0,795.45,809,0,0,29-May-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,795.45,0,0,0,795.45,805.45,0,0,30-May-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,795.45,0,0,0,795.45,813.15,0,0,31-May-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,795.45,808.9,808.9,808.9,808.9,808.9,1,900,1-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,808.9,810,810,810,810,810.25,1,1800,2-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,810,0,0,0,810,806.05,0,1800,5-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,810,0,0,0,810,805.55,0,1800,6-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,810,809,835.85,809,833.3,833.3,4,3600,7-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,833.3,829.95,829.95,826.05,826.05,820.55,2,3600,8-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,826.05,816,816,816,816,816,1,3600,9-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,816,0,0,0,816,813.45,0,3600,12-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,816,0,0,0,816,832.7,0,3600,13-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,816,839,875.25,839,874,874,22,11700,14-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,874,874,883.8,870,878.2,878.2,14,15300,15-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,878.2,869.7,873,865,873,873,7,14400,16-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,873,876,876,875,875,869.4,4,16200,19-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,875,866.3,870.2,861,870,870,7,16200,20-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,870,880,884,870,870,872.25,11,13500,21-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,870,860,863.25,859,859,853.55,7,17100,22-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,859,846.75,853.45,846.45,852.6,852.6,6,13500,23-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,852.6,871.95,875.95,864.1,873,873.85,20,17100,26-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,873,873.5,874.5,863.5,863.5,863.5,21,25200,27-Jun-23,3,,,
8/31/2023,FUTSTK,TATACONSUM,863.5,863,868.5,863,866.2,866.2,9,27000,28-Jun-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,870.45,0,0,0,870.45,876.3,0,0,30-Jun-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,870.45,0,0,0,870.45,873.65,0,0,3-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,870.45,0,0,0,870.45,870.15,0,0,4-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,870.45,861.8,861.8,857,857,860.1,2,1800,5-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,857,0,0,0,857,859.1,0,1800,6-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,857,848.1,848.1,848.1,848.1,846.95,1,1800,7-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,848.1,0,0,0,848.1,838.7,0,1800,10-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,848.1,0,0,0,848.1,853.45,0,1800,11-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,848.1,0,0,0,848.1,856.2,0,1800,12-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,848.1,853.5,853.5,853.5,853.5,850.05,1,2700,13-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,853.5,848,863,848,862.75,862.75,4,1800,14-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,862.75,0,0,0,862.75,864.9,0,1800,17-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,862.75,862.5,867.6,862.5,866.15,870.9,3,2700,18-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,866.15,870.55,872,870,872,872,3,3600,19-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,872,872,884,872,882.8,882.8,6,6300,20-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,882.8,880.3,880.3,865.25,866.6,866.6,6,8100,21-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,866.6,870,873,870,873,873,3,9900,24-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,873,873,880.35,867,880.35,880.35,6,10800,25-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,880.35,894.55,895.35,882.45,882.45,882.45,24,25200,26-Jul-23,3,,,
9/28/2023,FUTSTK,TATACONSUM,882.45,882.45,882.45,860.8,861.45,861.45,39,47700,27-Jul-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,874.7,0,0,28-Jul-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,874.1,0,0,31-Jul-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,871.35,0,0,1-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,857.15,0,0,2-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,849.25,0,0,3-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,848.5,0,0,4-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,851.05,0,0,7-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,860.7,0,0,8-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,873.45,0,0,9-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,863.45,0,0,10-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,0,0,0,865.35,,0,0,11-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,865.35,853,853,853,853,856.9,1,900,14-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,853,853.75,853.75,840.45,851.6,851.6,4,900,16-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,851.6,0,0,0,851.6,856,0,900,17-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,851.6,851.15,851.15,851.15,851.15,854.1,1,1800,18-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,851.15,858.85,858.85,858.85,858.85,859.65,1,1800,21-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,858.85,859.95,859.95,859.95,859.95,859.8,1,1800,22-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,859.95,857.05,857.05,854.25,854.25,855.3,2,1800,23-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,854.25,0,0,0,854.25,854.8,0,1800,24-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,854.25,852.1,852.1,845,845,842.85,6,5400,25-Aug-23,3,,,
10/26/2023,FUTSTK,TATACONSUM,845,850,851,850,851,851,2,6300,28-Aug-23,3,,,
